"iris.Petal.Length","mylabel"
1.4,"L"
1.4,"L"
1.3,"L"
1.5,"L"
1.4,"L"
1.7,"M"
1.4,"L"
1.5,"L"
1.4,"L"
1.5,"L"
1.5,"L"
1.6,"L"
1.4,"L"
1.1,"L"
1.2,"L"
1.5,"L"
1.3,"L"
1.4,"L"
1.7,"M"
1.5,"L"
1.7,"M"
1.5,"L"
1,"L"
1.7,"M"
1.9,"M"
1.6,"L"
1.6,"L"
1.5,"L"
1.4,"L"
1.6,"L"
1.6,"L"
1.5,"L"
1.5,"L"
1.4,"L"
1.5,"L"
1.2,"L"
1.3,"L"
1.4,"L"
1.3,"L"
1.5,"L"
1.3,"L"
1.3,"L"
1.3,"L"
1.6,"L"
1.9,"M"
1.4,"L"
1.6,"L"
1.4,"L"
1.5,"L"
1.4,"L"
4.7,"M"
4.5,"M"
4.9,"M"
4,"M"
4.6,"M"
4.5,"M"
4.7,"M"
3.3,"M"
4.6,"M"
3.9,"M"
3.5,"M"
4.2,"M"
4,"M"
4.7,"M"
3.6,"M"
4.4,"M"
4.5,"M"
4.1,"M"
4.5,"M"
3.9,"M"
4.8,"M"
4,"M"
4.9,"M"
4.7,"M"
4.3,"M"
4.4,"M"
4.8,"M"
5,"M"
4.5,"M"
3.5,"M"
3.8,"M"
3.7,"M"
3.9,"M"
5.1,"H"
4.5,"M"
4.5,"M"
4.7,"M"
4.4,"M"
4.1,"M"
4,"M"
4.4,"M"
4.6,"M"
4,"M"
3.3,"M"
4.2,"M"
4.2,"M"
4.2,"M"
4.3,"M"
3,"M"
4.1,"M"
6,"H"
5.1,"H"
5.9,"H"
5.6,"H"
5.8,"H"
6.6,"H"
4.5,"M"
6.3,"H"
5.8,"H"
6.1,"H"
5.1,"H"
5.3,"H"
5.5,"H"
5,"M"
5.1,"H"
5.3,"H"
5.5,"H"
6.7,"H"
6.9,"H"
5,"M"
5.7,"H"
4.9,"M"
6.7,"H"
4.9,"M"
5.7,"H"
6,"H"
4.8,"M"
4.9,"M"
5.6,"H"
5.8,"H"
6.1,"H"
6.4,"H"
5.6,"H"
5.1,"H"
5.6,"H"
6.1,"H"
5.6,"H"
5.5,"H"
4.8,"M"
5.4,"H"
5.6,"H"
5.1,"H"
5.1,"H"
5.9,"H"
5.7,"H"
5.2,"H"
5,"M"
5.2,"H"
5.4,"H"
5.1,"H"
